frame_id,timestamp_sec,track_id,class,x1,y1,x2,y2,center_x,center_y,confidence,displacement_px,direction,speed_mps,status,alerts
11,0.333,7,motorcycle,1361,828,1420,919,1390,873,0.4036,14.56,Up,5.46,Moving,Normal
11,0.333,21,motorcycle,1668,886,1718,981,1693,933,0.5904,4.24,Stationary,1.59,Stationary,Normal
11,0.333,23,motorcycle,1112,877,1199,985,1155,931,0.4827,0.0,Stationary,0.0,Stationary,Normal
11,0.333,11,car,1887,511,1914,541,1900,526,0.5072,3.16,Stationary,1.19,Stationary,Normal
12,0.367,1,car,1662,732,1771,820,1716,776,0.746,5.39,Up,2.02,Moving,Normal
12,0.367,2,car,1641,672,1739,739,1690,705,0.6286,3.61,Stationary,1.35,Stationary,Normal
12,0.367,7,person,1364,810,1426,907,1395,858,0.4556,15.81,Up,5.93,Moving,Normal
12,0.367,21,motorcycle,1678,900,1718,973,1698,936,0.42,5.83,Right,2.19,Moving,Normal
12,0.367,23,motorcycle,1118,865,1210,979,1164,922,0.4921,12.73,Up,4.77,Moving,Normal
12,0.367,24,motorcycle,1669,860,1726,969,1697,914,0.4256,0.0,Stationary,0.0,Stationary,Normal
12,0.367,11,car,1885,508,1916,540,1900,524,0.6118,2.0,Stationary,0.75,Stationary,Normal
13,0.4,1,car,1664,727,1773,815,1718,771,0.7312,5.39,Up,2.02,Moving,Normal
13,0.4,2,car,1644,669,1741,735,1692,702,0.6243,3.61,Stationary,1.35,Stationary,Normal
13,0.4,7,motorcycle,1373,815,1430,904,1401,859,0.468,6.08,Right,2.28,Moving,Normal
13,0.4,23,motorcycle,1129,864,1214,970,1171,917,0.458,8.6,Right,3.23,Moving,Normal
13,0.4,24,person,1672,847,1728,953,1700,900,0.4691,14.32,Up,5.37,Moving,Normal
13,0.4,11,car,1885,508,1915,539,1900,523,0.5545,1.0,Stationary,0.38,Stationary,Normal
14,0.433,1,car,1666,726,1773,811,1719,768,0.8306,3.16,Stationary,1.19,Stationary,Normal
14,0.433,2,car,1647,667,1743,733,1695,700,0.5428,3.61,Stationary,1.35,Stationary,Normal
14,0.433,7,motorcycle,1377,803,1436,898,1406,850,0.4022,10.3,Up,3.86,Moving,Normal
15,0.467,1,car,1668,724,1772,808,1720,766,0.6671,2.24,Stationary,0.84,Stationary,Normal
15,0.467,2,car,1651,665,1745,730,1698,697,0.4504,4.24,Stationary,1.59,Stationary,Normal
15,0.467,7,motorcycle,1381,795,1443,894,1412,844,0.4862,8.49,Up,3.18,Moving,Normal
15,0.467,23,motorcycle,1144,847,1231,956,1187,901,0.4873,22.63,Up,8.49,Moving,Normal
15,0.467,24,motorcycle,1678,837,1734,945,1706,891,0.5918,10.82,Up,4.06,Moving,Normal
16,0.5,1,car,1672,725,1770,802,1721,763,0.5135,3.16,Stationary,1.19,Stationary,Normal
16,0.5,2,car,1654,664,1745,726,1699,695,0.452,2.24,Stationary,0.84,Stationary,Normal
